ciudad,departamento,latitud,longitud
Abejorral,Antioquia,,
Apartado,Antioquia,,
Armenia,Antioquia,,
Barbosa,Antioquia,,
Bello,Antioquia,,
Caldas,Antioquia,,
Canasgordas,Antioquia,,
Carepa,Antioquia,,
Caucasia,Antioquia,,
Cocorna,Antioquia,,
Copacabana,Antioquia,,
El Carmen De Viboral,Antioquia,,
El Santuario,Antioquia,,
Envigado,Antioquia,,
Fredonia,Antioquia,,
Girardota,Antioquia,,
Granada,Antioquia,,
Guarne,Antioquia,,
Itagui,Antioquia,,
La Ceja,Antioquia,,
La Estrella,Antioquia,,
Marinilla,Antioquia,,
Medellin,Antioquia,,
Mutata,Antioquia,,
Penol,Antioquia,,
Rionegro,Antioquia,,
Sabaneta,Antioquia,,
San Pedro De Uraba,Antioquia,,
Segovia,Antioquia,,
Tamesis,Antioquia,,
Yarumal,Antioquia,,
Yondo,Antioquia,,
Baranoa,Atlantico,,
Barranquilla,Atlantico,,
Galapa,Atlantico,,
Malambo,Atlantico,,
Palmar De Varela,Atlantico,,
Polonuevo,Atlantico,,
Ponedera,Atlantico,,
Puerto Colombia,Atlantico,,
Santo Tomas,Atlantico,,
Soledad,Atlantico,,
Suan,Atlantico,,
Cartagena,Bolivar,,
Duitama,Boyaca,,
Sogamoso,Boyaca,,
Tunja,Boyaca,,
Manizales,Caldas,,
Florencia,Caqueta,,
Yopal,Casanare,,
Aguachica,Cesar,,
Monteria,Cordoba,,
Anapoima,Cundinamarca,,
Bogota D.C.,Cundinamarca,,
Cajica,Cundinamarca,,
Chia,Cundinamarca,,
Cogua,Cundinamarca,,
Cota,Cundinamarca,,
El Colegio,Cundinamarca,,
El Rosal,Cundinamarca,,
Facatativa,Cundinamarca,,
Funza,Cundinamarca,,
Fusagasuga,Cundinamarca,,
Gacheta,Cundinamarca,,
Girardot,Cundinamarca,,
Guaduas,Cundinamarca,,
Guasca,Cundinamarca,,
La Calera,Cundinamarca,,
La Mesa,Cundinamarca,,
La Vega,Cundinamarca,,
Madrid,Cundinamarca,,
Mosquera,Cundinamarca,,
Pacho,Cundinamarca,,
Ricaurte,Cundinamarca,,
San Juan De Rio Seco,Cundinamarca,,
Sibate,Cundinamarca,,
Silvania,Cundinamarca,,
Soacha,Cundinamarca,,
Sopo,Cundinamarca,,
Tabio,Cundinamarca,,
Tenjo,Cundinamarca,,
Tocancipa,Cundinamarca,,
Villa De San Diego De Ubate,Cundinamarca,,
Villeta,Cundinamarca,,
Viota,Cundinamarca,,
Zipaquira,Cundinamarca,,
Garzon,Huila,,
Neiva,Huila,,
Pitalito,Huila,,
San Agustin,Huila,,
Santa Marta,Magdalena,,
Acacias,Meta,,
Villavicencio,Meta,,
Pasto,Narino,,
San Andres De Tumaco,Narino,,
Armenia,Quindio,,
Belen De Umbria,Risaralda,,
Dosquebradas,Risaralda,,
Pereira,Risaralda,,
Santa Rosa De Cabal,Risaralda,,
Barrancabermeja,Santander,,
Bucaramanga,Santander,,
Floridablanca,Santander,,
Giron,Santander,,
Guadalupe,Santander,,
Lebrija,Santander,,
Piedecuesta,Santander,,
Rionegro,Santander,,
Sabana De Torres,Santander,,
San Gil,Santander,,
San Vicente De Chucuri,Santander,,
Socorro,Santander,,
Espinal,Tolima,,
Ibague,Tolima,,
Andalucia,Valle Del Cauca,,
Buenaventura,Valle Del Cauca,,
Bugalagrande,Valle Del Cauca,,
Caicedonia,Valle Del Cauca,,
Cali,Valle Del Cauca,,
Candelaria,Valle Del Cauca,,
Cartago,Valle Del Cauca,,
Dagua,Valle Del Cauca,,
El Cerrito,Valle Del Cauca,,
Florida,Valle Del Cauca,,
Ginebra,Valle Del Cauca,,
Guadalajara De Buga,Valle Del Cauca,,
Jamundi,Valle Del Cauca,,
La Union,Valle Del Cauca,,
Palmira,Valle Del Cauca,,
Pradera,Valle Del Cauca,,
Sevilla,Valle Del Cauca,,
Trujillo,Valle Del Cauca,,
Tulua,Valle Del Cauca,,
Vijes,Valle Del Cauca,,
Yumbo,Valle Del Cauca,,
Zarzal,Valle Del Cauca,,
